"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///CWE-022-codeql_1.py:1:26:1:32""]].","/CWE-022-codeql_1.py","18","19","18","26"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/CWE-116-codeql_1.py","9","28","9","46"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-209-codeql_1.py:14:25:14:25""]] flows to this location and may be exposed to an external user.","/CWE-209-codeql_1.py","16","25","16","30"
"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///CWE-502-sonar_1.py:15:25:15:25""]] flows to this location and may be exposed to an external user.","/CWE-502-sonar_1.py","16","16","16","26"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/CWE-094-author_1.py","23","5","23","23"
"Use of weak cryptographic key","Use of a cryptographic key that is too small may allow the encryption to be broken.","error","Creation of an DSA key uses [[""1024""|""relative:///CWE-326-author_2.py:9:24:9:27""]] bits, which is below 2048 and considered breakable.","/CWE-326-author_2.py","9","11","9","28"
"Default version of SSL/TLS may be insecure","Leaving the SSL/TLS version unspecified may result in an insecure default protocol being used.","warning","Call to deprecated method ssl.wrap_socket does not specify a protocol, which may result in an insecure default being used.","/CWE-327-codeql_2.py","14","16","14","36"
"Deserialization of user-controlled data","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///CWE-020-codeql_2.py:4:26:4:32""]].","/CWE-020-codeql_2.py","13","33","13","44"
"Deserialization of user-controlled data","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///CWE-502-sonar_1.py:1:26:1:32""]].","/CWE-502-sonar_1.py","13","33","13","41"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-020-codeql_4.py:1:36:1:42""]].","/CWE-020-codeql_4.py","14","25","14","34"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-601-codeql_1.py:1:26:1:32""]].","/CWE-601-codeql_1.py","11","21","11","28"
"URL redirection from remote source","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///CWE-601-sonar_2.py:1:19:1:25""]].","/CWE-601-sonar_2.py","12","25","12","27"
"XPath query built from user-controlled sources","Building a XPath query from user-controlled sources is vulnerable to insertion of malicious Xpath code by the user.","error","XPath expression depends on a [[""user-provided value""|""relative:///CWE-643-sonar_1.py:1:26:1:32""]].","/CWE-643-sonar_1.py","13","30","13","34"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-730-codeql_1.py:1:19:1:25""]] and is executed by [[""re.findall""|""relative:///CWE-730-codeql_1.py:14:15:14:39""]].","/CWE-730-codeql_1.py","14","26","14","32"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-730-codeql_2.py:1:26:1:32""]] and is executed by [[""re.search""|""relative:///CWE-730-codeql_2.py:13:13:13:45""]].","/CWE-730-codeql_2.py","13","23","13","38"
"XML internal entity expansion","Parsing user input as an XML document with arbitrary internal entity expansion is vulnerable to denial-of-service attacks.","warning","XML parsing depends on a [[""user-provided value""|""relative:///CWE-776-codeql_1.py:1:26:1:32""]] without guarding against uncontrolled entity expansion.","/CWE-776-codeql_1.py","22","30","22","41"
"Hard-coded credentials","Credentials are hard coded in the source code of the application.","error","This hardcoded value is [[""used as credentials""|""relative:///CWE-089-author_1.py:7:79:7:93""]].","/CWE-089-author_1.py","7","79","7","93"
"Hard-coded credentials","Credentials are hard coded in the source code of the application.","error","This hardcoded value is [[""used as credentials""|""relative:///CWE-798-codeql_1.py:11:20:11:36""]].","/CWE-798-codeql_1.py","9","25","9","37"
"Partial server-side request forgery","Making a network request to a URL that is partially user-controlled allows for request forgery attacks.","error","Part of the URL of this request depends on a [[""user-provided value""|""relative:///CWE-918-codeql_2.py:2:26:2:32""]].","/CWE-918-codeql_2.py","18","20","18","36"
